artist_count,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10
1.0,4511.0,751134527.0,70.0,109.0,94.0,51.0,14.0,59.0,65.0,18.0,25.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,7.0,5.0
2.0,8506.0,1356565093.0,94.0,164.0,128.0,62.0,55.0,78.0,1.0,3.0,23.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,3.0
1.0,3246.0,635412045.0,94.0,68.0,132.0,58.0,27.0,48.0,50.0,0.0,12.0,3.0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,4.0,6.0
2.0,8576.0,1230675890.0,216.0,331.0,131.0,71.0,24.0,47.0,1.0,0.0,27.0,9.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
2.0,3618.0,585695368.0,47.0,80.0,168.0,78.0,58.0,73.0,5.0,0.0,10.0,7.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,370.0,43857627.0,12.0,18.0,98.0,68.0,40.0,79.0,33.0,0.0,30.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
2.0,2790.0,600976848.0,60.0,71.0,101.0,34.0,32.0,57.0,78.0,0.0,20.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,6.0,5.0
2.0,267.0,39709092.0,9.0,25.0,130.0,63.0,36.0,34.0,76.0,0.0,35.0,9.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,5.0
1.0,139.0,39228929.0,16.0,5.0,142.0,50.0,20.0,64.0,1.0,0.0,12.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
2.0,17050.0,2665343922.0,492.0,798.0,170.0,59.0,48.0,76.0,4.0,0.0,10.0,5.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,6.0,6.0
2.0,2114.0,223633238.0,80.0,110.0,124.0,78.0,70.0,68.0,3.0,1.0,11.0,4.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0
2.0,8870.0,1440757818.0,104.0,141.0,92.0,91.0,43.0,71.0,9.0,0.0,9.0,8.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,6.0
2.0,641.0,58054811.0,1.0,8.0,129.0,63.0,84.0,82.0,70.0,8.0,9.0,7.0,0.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,6.0,1.0
1.0,1446.0,157058870.0,57.0,35.0,98.0,71.0,67.0,60.0,19.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,3.0
1.0,804.0,95131998.0,29.0,24.0,172.0,74.0,76.0,76.0,6.0,0.0,10.0,9.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,6.0,6.0
2.0,1962.0,250305248.0,28.0,29.0,150.0,68.0,14.0,76.0,4.0,0.0,10.0,4.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
1.0,4875.0,685032533.0,19.0,0.0,136.0,62.0,19.0,53.0,11.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,31.0,38411956.0,2.0,8.0,88.0,53.0,34.0,47.0,9.0,0.0,83.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,6.0
